날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율
2024-01-16,HD현대미포,3,0,1,4,0.9999996666667778,0.0
2024-01-16,HD현대중공업,21,7,3,31,0.7499999732142867,0.24999999107142887
2024-01-16,STX엔진,0,0,1,1,0.0,0.0
2024-01-16,삼성중공업,19,8,6,33,0.7037036776406045,0.2962962853223598
2024-01-16,세진중공업,0,1,0,1,0.0,0.9999990000010001
2024-01-16,한국카본,2,3,1,6,0.399999920000016,0.599999880000024
2024-01-16,한화엔진,10,2,2,14,0.8333332638888947,0.16666665277777895
2024-01-16,한화오션,30,9,7,46,0.769230749506904,0.2307692248520712
2024-01-17,HD한국조선해양,14,5,1,20,0.7368420664819965,0.26315788088642733
2024-01-17,HD현대마린솔루션,3,3,1,7,0.49999991666668053,0.49999991666668053
2024-01-17,HD현대미포,18,2,0,20,0.8999999550000022,0.09999999500000024
2024-01-17,HD현대중공업,15,6,4,25,0.7142856802721105,0.28571427210884415
2024-01-17,STX엔진,1,2,0,3,0.33333322222225925,0.6666664444445185
2024-01-17,삼성중공업,10,3,4,17,0.7692307100591762,0.23076921301775286
2024-01-17,세진중공업,1,0,0,1,0.9999990000010001,0.0
2024-01-17,한국카본,1,0,1,2,0.9999990000010001,0.0
2024-01-17,한화엔진,6,2,2,10,0.7499999062500118,0.24999996875000394
2024-01-17,한화오션,19,8,5,32,0.7037036776406045,0.2962962853223598
2024-01-18,HD한국조선해양,17,1,1,19,0.9444443919753115,0.055555552469135974
2024-01-18,HD현대마린솔루션,4,2,1,7,0.6666665555555741,0.33333327777778704
2024-01-18,HD현대마린엔진,1,0,0,1,0.9999990000010001,0.0
2024-01-18,HD현대미포,10,0,0,10,0.99999990000001,0.0
2024-01-18,HD현대중공업,20,1,3,24,0.9523809070294805,0.04761904535147403
2024-01-18,STX엔진,3,0,0,3,0.9999996666667778,0.0
2024-01-18,삼성중공업,29,3,6,38,0.9062499716796885,0.0937499970703126
2024-01-18,한국카본,1,2,0,3,0.33333322222225925,0.6666664444445185
2024-01-18,한화엔진,6,2,1,9,0.7499999062500118,0.24999996875000394
2024-01-18,한화오션,21,6,6,33,0.7777777489711944,0.22222221399176983
2024-01-19,HD한국조선해양,13,6,2,21,0.684210490304711,0.31578945706371275
2024-01-19,HD현대마린솔루션,7,1,0,8,0.8749998906250137,0.12499998437500197
2024-01-19,HD현대마린엔진,1,1,0,2,0.499999750000125,0.499999750000125
2024-01-19,HD현대미포,7,2,1,10,0.7777776913580343,0.22222219753086697
2024-01-19,HD현대중공업,47,8,2,57,0.8545454390082647,0.1454545428099174
2024-01-19,STX엔진,2,0,0,2,0.99999950000025,0.0
2024-01-19,삼성중공업,27,8,4,39,0.7714285493877557,0.22857142204081654
2024-01-19,세진중공업,1,1,0,2,0.499999750000125,0.499999750000125
2024-01-19,한국카본,3,1,1,5,0.7499998125000469,0.24999993750001562
2024-01-19,한화엔진,6,4,0,10,0.599999940000006,0.39999996000000404
2024-01-19,한화오션,17,5,4,26,0.7727272376033073,0.2272727169421492
2024-01-20,HD한국조선해양,5,3,1,9,0.6249999218750099,0.3749999531250059
2024-01-20,HD현대마린솔루션,2,1,0,3,0.6666664444445185,0.33333322222225925
2024-01-20,HD현대미포,2,0,0,2,0.99999950000025,0.0
2024-01-20,HD현대중공업,8,1,1,10,0.8888887901234679,0.11111109876543349
2024-01-20,STX엔진,1,0,0,1,0.9999990000010001,0.0
2024-01-20,삼성중공업,5,2,0,7,0.7142856122449125,0.285714244897965
2024-01-20,한화엔진,1,0,0,1,0.9999990000010001,0.0
2024-01-20,한화오션,7,0,1,8,0.9999998571428775,0.0
2024-01-21,HD한국조선해양,4,2,2,8,0.6666665555555741,0.33333327777778704
2024-01-21,HD현대미포,2,3,0,5,0.399999920000016,0.599999880000024
2024-01-21,HD현대중공업,9,2,2,13,0.8181817438016598,0.1818181652892577
2024-01-21,삼성중공업,6,2,3,11,0.7499999062500118,0.24999996875000394
2024-01-21,한화엔진,5,0,0,5,0.99999980000004,0.0
2024-01-21,한화오션,8,2,3,13,0.7999999200000081,0.19999998000000202
2024-01-22,HD한국조선해양,27,3,11,41,0.899999970000001,0.09999999666666677
2024-01-22,HD현대마린솔루션,16,3,1,20,0.8421052188365674,0.15789472853185638
2024-01-22,HD현대미포,2,2,1,5,0.49999987500003124,0.49999987500003124
2024-01-22,HD현대중공업,66,14,10,90,0.8249999896875001,0.17499999781250003
2024-01-22,삼성중공업,14,9,4,27,0.6086956257088858,0.39130433081285515
2024-01-22,세진중공업,1,0,0,1,0.9999990000010001,0.0
2024-01-22,한국카본,7,2,0,9,0.7777776913580343,0.22222219753086697
2024-01-22,한화엔진,9,4,1,14,0.6923076390532585,0.3076922840236705
2024-01-22,한화오션,61,22,12,95,0.7349397501814489,0.2650602377703586
2024-01-23,HD한국조선해양,21,5,4,30,0.8076922766272201,0.1923076849112429
2024-01-23,HD현대마린솔루션,8,2,0,10,0.7999999200000081,0.19999998000000202
2024-01-23,HD현대미포,1,2,2,5,0.33333322222225925,0.6666664444445185
2024-01-23,HD현대중공업,19,11,5,35,0.6333333122222229,0.36666665444444485
2024-01-23,STX엔진,0,0,1,1,0.0,0.0
2024-01-23,삼성중공업,15,7,6,28,0.6818181508264477,0.3181818037190089
2024-01-23,세진중공업,0,1,1,2,0.0,0.9999990000010001
2024-01-23,한국카본,2,0,1,3,0.99999950000025,0.0
2024-01-23,한화엔진,4,3,1,8,0.57142848979593,0.4285713673469475
