날짜,기업명,tfidf_수주,tfidf_실적,tfidf_미국
2024-01-14,삼성중공업,0.05050605155610637,0.033478219223203196,0.0
2024-01-14,세진중공업,0.0,0.0,0.0
2024-01-14,한국카본,0.0,0.0,0.0
2024-01-14,한화엔진,0.0,0.03826082196937508,0.0
2024-01-14,한화오션,0.013163490595201263,0.01913041098468754,0.0
2024-01-15,HD한국조선해양,0.049240208313808306,0.014594273993533585,0.0
2024-01-15,HD현대마린솔루션,0.0,0.0,0.0
2024-01-15,HD현대미포,0.0,0.1330897273549393,0.0
2024-01-15,HD현대중공업,0.06318672595273261,0.03267632456067217,0.0
2024-01-15,STX엔진,0.0,0.0,0.0
2024-01-15,삼성중공업,0.05304312052253078,0.0,0.0
2024-01-15,세진중공업,0.0,0.0,0.0
2024-01-15,한국카본,0.0,0.0,0.0
2024-01-15,한화엔진,0.0,0.0,0.0
2024-01-15,한화오션,0.028784594967206964,0.010987334532522774,0.0
2024-01-16,HD한국조선해양,0.02258172948018685,0.0,0.0
2024-01-16,HD현대마린솔루션,0.0,0.0,0.0
2024-01-16,HD현대마린엔진,0.0,0.0,0.0
2024-01-16,HD현대미포,0.0,0.0,0.0
2024-01-16,HD현대중공업,0.05004214098446086,0.0,0.0
2024-01-16,STX엔진,0.0,0.0,0.0
2024-01-16,삼성중공업,0.026104597610107354,0.0,0.0
2024-01-16,세진중공업,0.0,0.0,0.0
2024-01-16,한국카본,0.04435553422912211,0.05659730445414132,0.05418796107653203
2024-01-16,한화엔진,0.0,0.0,0.0
2024-01-16,한화오션,0.015388363987009905,0.0056041654482900565,0.0
2024-01-17,HD한국조선해양,0.026284015621583744,0.0,0.0
2024-01-17,HD현대마린솔루션,0.0,0.0,0.0
2024-01-17,HD현대미포,0.016584335471086474,0.0,0.01574422123601845
2024-01-17,HD현대중공업,0.04126027906941672,0.0,0.019076820023526474
2024-01-17,STX엔진,0.0,0.0,0.0
2024-01-17,삼성중공업,0.049624597066626946,0.0,0.0
2024-01-17,세진중공업,0.0,0.0,0.0
2024-01-17,한국카본,0.0,0.0,0.0
2024-01-17,한화엔진,0.0,0.0,0.0
2024-01-17,한화오션,0.03783383001180504,0.011493644566508934,0.0
2024-01-18,HD한국조선해양,0.08208777112609497,0.0,0.0
2024-01-18,HD현대마린솔루션,0.0,0.0,0.0
2024-01-18,HD현대마린엔진,0.0,0.0,0.0
2024-01-18,HD현대미포,0.0,0.0,0.0
2024-01-18,HD현대중공업,0.09716508087440863,0.02551427829410906,0.0
2024-01-18,STX엔진,0.0,0.0,0.0
2024-01-18,삼성중공업,0.039462015777605976,0.0,0.0
2024-01-18,한국카본,0.10124288149381515,0.0,0.0
2024-01-18,한화엔진,0.05269070927375714,0.0,0.0
2024-01-18,한화오션,0.02254611979071838,0.0,0.0
2024-01-19,HD한국조선해양,0.05318994178344368,0.014375115422368766,0.0
2024-01-19,HD현대마린솔루션,0.0,0.07262790360471238,0.0
2024-01-19,HD현대마린엔진,0.0,0.15093871193487204,0.0
2024-01-19,HD현대미포,0.05537319513145382,0.0706557510335615,0.0
2024-01-19,HD현대중공업,0.03144963507091429,0.005965372142571717,0.0057669445654989614
2024-01-19,STX엔진,0.0,0.0,0.0
2024-01-19,삼성중공업,0.025857779006690534,0.0,0.008428611288036944
2024-01-19,세진중공업,0.0,0.0,0.0
2024-01-19,한국카본,0.0520707050493205,0.0,0.0
2024-01-19,한화엔진,0.025264546860058867,0.04100264667153121,0.0
2024-01-19,한화오션,0.030280350740968034,0.0,0.012642916932055416
2024-01-20,HD한국조선해양,0.03109490227299512,0.0,0.0
2024-01-20,HD현대마린솔루션,0.0,0.0,0.0
2024-01-20,HD현대미포,0.0,0.0,0.0
2024-01-20,HD현대중공업,0.02996712383654741,0.0,0.0
2024-01-20,STX엔진,0.0,0.0,0.0
2024-01-20,삼성중공업,0.0,0.0,0.0
2024-01-20,한화엔진,0.0,0.0,0.0
2024-01-20,한화오션,0.0,0.0,0.0
