기업명,날짜,종가,거래량,MA5,MA10,RSI,MACD,BB_upper,1일후등락률,3일후등락률,5일후등락률
삼성중공업,2024-10-18,10050.0,2737975,10094.0,10043.0,36.090225563909776,-85.94980117230261,11015.003604893765,-0.4975124378109453,0.8955223880597015,-1.4925373134328357
삼성중공업,2024-10-21,10000.0,1880924,10118.0,10039.0,33.712121212121204,-89.45877172707151,11008.372594676064,-0.1,0.5,-2.8000000000000003
삼성중공업,2024-10-22,9990.0,2443596,10070.0,10037.0,45.17766497461928,-91.98621279731015,10984.357554776485,1.5015015015015014,-0.9009009009009009,-2.4024024024024024
삼성중공업,2024-10-23,10140.0,3920243,10086.0,10065.0,52.79187817258883,-80.95231377487653,10938.017543645912,-0.8875739644970414,-4.142011834319527,-5.424063116370808
삼성중공업,2024-10-24,10050.0,2488059,10046.0,10052.0,50.0,-78.56447478265909,10816.879622145167,-1.4925373134328357,-2.9850746268656714,-4.577114427860696
삼성중공업,2024-10-25,9900.0,4728500,10016.0,10055.0,46.788990825688074,-87.76415107328467,10653.200990920574,-1.8181818181818181,-3.1313131313131315,-4.343434343434343
삼성중공업,2024-10-28,9720.0,4047598,9960.0,10039.0,43.77682403433477,-108.33068775598804,10526.646806014898,0.30864197530864196,-1.337448559670782,-1.8518518518518516
삼성중공업,2024-10-29,9750.0,2735915,9912.0,9991.0,47.51131221719457,-120.81637105148548,10306.69698978692,-1.641025641025641,-2.871794871794872,-1.3333333333333335
삼성중공업,2024-10-30,9590.0,2794366,9802.0,9944.0,35.609756097560975,-141.9853095758608,10321.220502697086,0.0,-0.5213764337851928,3.441084462982273
삼성중공업,2024-10-31,9590.0,3789608,9710.0,9878.0,41.954022988505756,-156.952594065604,10340.830880875279,-1.251303441084463,0.31282586027111575,12.930135557872784
삼성중공업,2024-11-01,9470.0,2900544,9624.0,9820.0,38.91891891891892,-176.4631150297555,10367.4756149627,0.7391763463569165,4.7518479408658925,16.261879619852166
삼성중공업,2024-11-04,9540.0,2213090,9588.0,9774.0,28.02547770700636,-184.1541144742605,10372.582215471632,0.8385744234800839,13.522012578616351,23.89937106918239
삼성중공업,2024-11-05,9620.0,2290598,9562.0,9737.0,35.135135135135144,-181.69943752082145,10367.267469338973,3.118503118503119,14.44906444906445,20.374220374220375
삼성중공업,2024-11-06,9920.0,4675227,9628.0,9715.0,39.62264150943396,-153.77398477928546,10370.306919419347,9.173387096774194,19.153225806451612,13.205645161290322
삼성중공업,2024-11-07,10830.0,24408089,9876.0,9793.0,66.95652173913044,-57.550066138148395,10550.642625440063,1.662049861495845,6.9252077562326875,8.21791320406279
삼성중공업,2024-11-08,11010.0,11381616,10184.0,9904.0,70.78189300411523,32.85385947685427,10772.773696711756,7.3569482288828345,1.9981834695731153,7.992733878292461
삼성중공업,2024-11-11,11820.0,24976740,10640.0,10114.0,78.328173374613,167.92412758573846,11216.994352647593,-2.030456852791878,-0.8460236886632826,-1.0998307952622675
삼성중공업,2024-11-12,11580.0,11702210,11032.0,10297.0,71.6867469879518,252.68944729969735,11467.812675570074,-3.0224525043177892,2.6770293609671847,1.468048359240069
삼성중공업,2024-11-13,11230.0,9143856,11294.0,10461.0,66.4804469273743,288.30114283286093,11611.357319734125,4.363312555654497,4.096170970614425,5.966162065894924
삼성중공업,2024-11-14,11720.0,10977097,11472.0,10674.0,73.21428571428572,352.0048798707194,11840.11602746357,1.4505119453924915,0.25597269624573377,0.7679180887372014
삼성중공업,2024-11-15,11890.0,8290149,11648.0,10916.0,77.74936061381074,411.4650170955865,12085.116309704334,-1.682085786375105,0.08410428931875526,1.1774600504625736
삼성중공업,2024-11-18,11690.0,7581885,11622.0,11131.0,73.77450980392157,437.4071187151203,12257.450793905766,0.5132591958939264,1.0265183917878529,1.8819503849443968
삼성중공업,2024-11-19,11750.0,11393023,11656.0,11344.0,77.1356783919598,457.53375538324326,12420.561309190683,1.276595744680851,2.382978723404255,0.5957446808510638
삼성중공업,2024-11-20,11900.0,6592223,11790.0,11542.0,77.96610169491525,480.0542398909365,12592.51602523208,-0.7563025210084033,0.08403361344537816,0.0
삼성중공업,2024-11-21,11810.0,4626802,11808.0,11640.0,78.53658536585365,485.0483033668679,12728.508946302178,1.8628281117696865,0.0846740050804403,0.2540220152413209
삼성중공업,2024-11-22,12030.0,7082726,11836.0,11742.0,79.29411764705883,500.98327271847484,12878.064091714083,-0.997506234413965,-1.0806317539484622,-3.408146300914381
삼성중공업,2024-11-25,11910.0,11034315,11880.0,11751.0,76.68997668997669,498.186074658126,12973.437607030031,-0.7556675062972292,-0.5877413937867338,-8.312342569269521
삼성중공업,2024-11-26,11820.0,5361586,11894.0,11775.0,73.2843137254902,483.137716352634,13033.939991723053,0.676818950930626,-1.6920473773265652,-6.006768189509306
삼성중공업,2024-11-27,11900.0,6590705,11894.0,11842.0,66.46153846153845,472.2236154995826,13062.666907250232,-0.5042016806722689,-8.235294117647058,-7.142857142857142
삼성중공업,2024-11-28,11840.0,4034644,11900.0,11854.0,63.25878594249201,453.5048912927796,13048.865025119472,-1.8581081081081081,-6.16554054054054,-8.192567567567567
삼성중공업,2024-11-29,11620.0,5097128,11818.0,11827.0,46.06299212598425,416.12121972001114,12948.26918178647,-6.024096385542169,-4.905335628227195,-8.519793459552496
삼성중공업,2024-12-02,10920.0,9914596,11620.0,11750.0,39.0,326.24944034282817,12783.214846084133,1.73992673992674,-0.4578754578754579,-8.516483516483516
삼성중공업,2024-12-03,11110.0,4220808,11478.0,11686.0,47.88732394366197,267.2758303995324,12566.084652807955,-0.54005400540054,-4.32043204320432,-6.300630063006301
삼성중공업,2024-12-04,11050.0,6956808,11308.0,11601.0,36.09958506224067,213.23923194937743,12346.919071755463,-1.6289592760180998,-9.592760180995477,0.4524886877828055
삼성중공업,2024-12-05,10870.0,3038570,11114.0,11507.0,28.925619834710744,154.11381456592972,12341.032615456485,-2.2079116835326587,-4.231830726770929,2.1159153633854646
삼성중공업,2024-12-06,10630.0,5739815,10916.0,11367.0,28.455284552845526,86.88889992572513,12396.01429921866,-6.020696142991533,4.421448730009407,6.773283160865475
삼성중공업,2024-12-09,9990.0,9173616,10730.0,11175.0,21.05263157894737,-17.82451068897535,12546.213542634769,4.2042042042042045,11.11111111111111,12.412412412412413
삼성중공업,2024-12-10,10410.0,6239095,10590.0,11034.0,27.492447129909365,-66.15753027953542,12583.267866974038,6.628242074927954,9.029779058597502,6.340057636887608
삼성중공업,2024-12-11,11100.0,6806428,10600.0,10954.0,40.92071611253197,-48.22861365926474,12582.240373892857,0.0,1.1711711711711712,1.7117117117117115
삼성중공업,2024-12-12,11100.0,5740090,10646.0,10880.0,37.39837398373984,-33.63212783245217,12548.205450287744,2.2522522522522523,-0.2702702702702703,1.7117117117117115
삼성중공업,2024-12-13,11350.0,4939835,10790.0,10853.0,42.67015706806283,-1.8698426082282822,12495.271670032182,-1.0572687224669604,-0.5286343612334802,-1.4977973568281937
삼성중공업,2024-12-16,11230.0,4311246,11038.0,10884.0,42.33766233766233,13.463797867827452,12461.195419451911,-1.4247551202137132,0.5342831700801425,2.315227070347284
삼성중공업,2024-12-17,11070.0,2719917,11170.0,10880.0,39.44020356234096,12.560367495871105,12413.348805038793,1.9873532068654018,0.9936766034327009,2.619692863595303
삼성중공업,2024-12-18,11290.0,4780098,11208.0,10904.0,43.2762836185819,29.2592711361267,12345.03688363609,0.0,1.771479185119575,2.745792736935341
삼성중공업,2024-12-19,11290.0,4425104,11246.0,10946.0,45.736434108527135,42.009018761555126,12287.468276722035,-0.9743135518157661,0.6200177147918512,0.1771479185119575
삼성중공업,2024-12-20,11180.0,4154553,11212.0,11001.0,53.96341463414634,42.744473240034495,12175.254388720621,2.7728085867620753,3.7567084078711988,1.073345259391771
세진중공업,2024-01-29,5470.0,270297,5308.0,5119.0,82.27272727272727,148.4162842493697,5455.835682666202,-3.473491773308958,-3.1078610603290677,-2.1937842778793417
세진중공업,2024-01-30,5280.0,160441,5352.0,5161.5,69.07630522088354,147.95162605092628,5494.92981558183,0.1893939393939394,0.5681818181818182,4.734848484848484
세진중공업,2024-01-31,5290.0,76474,5398.0,5210.0,69.87951807228916,146.69923998603917,5526.387167517747,0.1890359168241966,1.1342155009451798,4.914933837429111
세진중공업,2024-02-01,5300.0,126724,5370.0,5256.0,72.1311475409836,144.84396041969103,5558.440350830641,0.18867924528301888,4.339622641509433,5.09433962264151
세진중공업,2024-02-02,5310.0,78373,5330.0,5284.0,71.06382978723404,142.5374711820141,5585.414771233292,0.7532956685499058,4.519774011299435,1.5065913370998116
세진중공업,2024-02-05,5350.0,141710,5306.0,5307.0,71.06382978723404,142.29691726438068,5614.949754741928,3.364485981308411,4.112149532710281,1.3084112149532712
세진중공업,2024-02-06,5530.0,180859,5356.0,5354.0,77.77777777777777,154.8458061635065,5666.390010987037,0.3616636528028933,-2.5316455696202533,-2.5316455696202533
세진중공업,2024-02-07,5550.0,106483,5408.0,5403.0,77.51937984496124,164.5083737492787,5714.359694527315,0.36036036036036034,-2.3423423423423424,-3.963963963963964
세진중공업,2024-02-08,5570.0,218318,5462.0,5416.0,74.10714285714286,171.79946375238524,5754.465587117154,-3.231597845601436,-3.231597845601436,-7.719928186714542
세진중공업,2024-02-13,5390.0,93105,5478.0,5404.0,61.15702479338843,161.1950531992352,5752.088222124891,0.5565862708719851,-1.1131725417439702,-3.896103896103896
세진중공업,2024-02-14,5420.0,200473,5492.0,5399.0,65.25423728813558,153.44293606273095,5750.620307062055,-0.5535055350553505,-5.166051660516605,0.18450184501845018
