날짜,기업명,긍정,부정,중립,전체뉴스수,감성_긍정비율,감성_부정비율,tfidf_수주,tfidf_실적,tfidf_미국
2024-01-08,HD현대마린엔진,1,1,0,2,0.499999750000125,0.499999750000125,0.0,0.0,0.0
2024-01-08,HD현대미포,6,0,0,6,0.9999998333333612,0.0,0.0886823639629377,0.0505121379429299,0.0
2024-01-08,HD현대중공업,20,10,1,31,0.6666666444444451,0.3333333222222225,0.0424676343862027,0.0088232854450895,0.0
2024-01-08,STX엔진,7,1,0,8,0.8749998906250137,0.1249999843750019,0.125,0.0,0.0
2024-01-08,삼성중공업,11,4,3,18,0.7333332844444478,0.2666666488888901,0.0244735317179257,0.0151956582665431,0.0
2024-01-08,세진중공업,1,1,1,3,0.499999750000125,0.499999750000125,0.0,0.0,0.0
2024-01-08,한국카본,1,1,0,2,0.499999750000125,0.499999750000125,0.0,0.0,0.0
2024-01-08,한화엔진,19,3,0,22,0.863636324380167,0.1363636301652895,0.0,0.0,0.0
2024-01-08,한화오션,19,6,2,27,0.7599999696000012,0.2399999904000003,0.0127607527077868,0.0101304388443621,0.0
2024-01-09,HD한국조선해양,16,6,3,25,0.7272726942148775,0.272727260330579,0.0563448532047217,0.020926690024941,0.0
2024-01-09,HD현대마린솔루션,8,4,0,12,0.6666666111111158,0.3333333055555579,0.0,0.0217807568731478,0.0
2024-01-09,HD현대미포,12,0,2,14,0.9999999166666736,0.0,0.1397681251386842,0.0,0.0
2024-01-09,HD현대중공업,25,1,3,29,0.9615384245562144,0.0384615369822485,0.0484355230403764,0.0086134813143558,0.0
2024-01-09,STX엔진,3,1,0,4,0.7499998125000469,0.2499999375000156,0.0,0.0,0.0
2024-01-09,삼성중공업,15,5,8,28,0.7499999625000018,0.2499999875000006,0.0442035944058848,0.017420903506496,0.0
2024-01-09,세진중공업,4,0,7,11,0.9999997500000624,0.0,0.0,0.0,0.0
2024-01-09,한국카본,1,0,1,2,0.999999000001,0.0,0.0,0.0,0.0
2024-01-09,한화엔진,15,4,1,20,0.7894736426592819,0.2105263047091418,0.0,0.0,0.0
2024-01-09,한화오션,20,6,9,35,0.7692307396449716,0.2307692218934914,0.0256894460434968,0.0137292984239641,0.0
2024-01-10,HD한국조선해양,29,19,2,50,0.6041666540798614,0.3958333250868057,0.159676575143791,0.007794295602514,0.0
2024-01-10,HD현대마린솔루션,8,2,0,10,0.7999999200000081,0.199999980000002,0.0,0.0,0.0
2024-01-10,HD현대마린엔진,1,0,0,1,0.999999000001,0.0,0.0,0.0,0.0
2024-01-10,HD현대미포,14,6,0,20,0.6999999650000017,0.2999999850000007,0.2167281232566032,0.0,0.0
