기업명,날짜,뉴스제목,URL
한화엔진,2024.01.08,차세대발사체 사업 한화·KAI `양강구도`,https://www.dt.co.kr/contents.html?article_no=2024010802109931731008&ref=naver
한화엔진,2024.01.08,금호건설 / STX엔진 / HD현대중공업 등,https://www.mk.co.kr/article/10916375
한화엔진,2024.01.08,"한화에어로 인사·전략 통합, 안병철 부사장 역할 확대",https://www.thebell.co.kr/free/content/ArticleView.asp?key=202401041441466720101056
한화엔진,2024.01.08,기업공시,https://www.sedaily.com/NewsView/2D406IWI76
한화엔진,2024.01.08,"2000억 '잭팟'…아이티엠반도체, 잠수함 배터리팩 만든다",https://www.hankyung.com/article/202401066365i
한화엔진,2024.01.08,"박완수 경남도지사, ‘우주항공청 특별법안 처리 여·야 합의’ 환영",http://www.breaknews.com/1008323
한화엔진,2024.01.08,"'형님' 최태원·정의선·정기선은 현재, '동생' 신유열·김동선은 미래...",https://isplus.com/article/view/isp202401070140
한화엔진,2024.01.08,"암모니아 운반선 주문 폭주했지만 ""암모니아 생산량·운송 선박 여전히...",https://www.theguru.co.kr/news/article.html?no=64851
한화엔진,2024.01.08,"현대차, 부분변경 '크레타' 인도서 공개...""디자인·기술 UP""",https://www.gpkorea.com/news/articleView.html?idxno=109148
한화엔진,2024.01.08,美CES 2024에 오너3세 출격...신유열·김동선·전병우 등,http://www.newslock.co.kr/news/articleView.html?idxno=85167
한화엔진,2024.01.08,"""스마트팩토리 기반 방산 제조 혁신해야""",http://www.asiaa.co.kr/news/articleView.html?idxno=154719
한화엔진,2024.01.08,북한 해안포 사격에...퍼스텍ㆍ빅텍 등 상승랠리 지속되나,https://www.pinpointnews.co.kr/news/articleView.html?idxno=236997
한화엔진,2024.01.08,"‘유통업 살려라’ 특명받은 오너家 3·4세, 2024년 ‘...",https://www.news2day.co.kr/article/20240105500254
한화엔진,2024.01.08,"CES 기조연설 유통이 대세, 신유열 김동선 전병우 라스베이거스 가는 이...",https://www.businesspost.co.kr/BP?command=article_view&num=338578
한화엔진,2024.01.08,"""총수부터 오너3세까지""…재계, CES 최대 '관전 포인트...",https://www.youthdaily.co.kr/news/article.html?no=143002
